Matière,Sujet,Serie,Années,Pays,Type
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI-2014-PC-serie-D.pdf,D,2014, Côte d'Ivoire,BAC
 Anglais,http://www.examens-concours.net/sujets/RCI_2015_Anglais_series_A.pdf,A,2015, Côte d'Ivoire,BAC
 Anglais,http://www.examens-concours.net/sujets/RCI_2014_Anglais_series_A.pdf,A,2014, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI_2015_Philo_Serie_CDE.pdf,Sciences,2015, Côte d'Ivoire,BAC
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI_2015_PC_serie_D.pdf,D,2015, Côte d'Ivoire,BAC
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI_2015_PC_series_CE.pdf,Sciences Dures,2015, Côte d'Ivoire,BAC
 SVT,http://www.examens-concours.net/sujets/RCI_2015_SVT_serie_C.pdf,C,2015, Côte d'Ivoire,BAC
 SVT,http://www.examens-concours.net/sujets/RCI_2015_SVT_serie_D.pdf,D,2015, Côte d'Ivoire,BAC
 Français,http://www.examens-concours.net/sujets/RCI_2014_Francais_Serie_ACDE.pdf,Toutes Serie,2014, Côte d'Ivoire,BAC
 Français,http://www.examens-concours.net/sujets/RCI-2015-Francais-Serie-ACDE.pdf,Toutes Serie,2015, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-2014-Philo-Serie-A.pdf,A,2014, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-2014-Philo-Serie-CDE.pdf,Sciences,2014, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-2015-Philo-Serie-A.pdf,A,2015, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/Bac-D-2015-CIV.pdf,D,2015, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/Bac-A1-2015-CIV.pdf,A1,2015, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/Bac-D-2014-CIV.pdf,D,2014, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/Bac-A-2014-CIV.pdf,A1,2014, Côte d'Ivoire,BAC
